study,arm,d_sac,d_val,n,y,sd,se
Izzo,Izzo_placebo,0,0,57,-7.0,22.4,2.966952479825698
Izzo,Izzo_valsartan320,0,320,143,-16.1,22.2,1.8564572622157414
Izzo,Izzo_freeSac50_Val320,50,320,132,-19.3,22.4,1.9496697467038158
Izzo,Izzo_freeSac100_Val320,100,320,141,-21.3,22.4,1.8864203031890023
Izzo,Izzo_freeSac200_Val320,200,320,144,-23.6,22.4,1.8666666666666665
Izzo,Izzo_freeSac400_Val320,400,320,143,-20.9,22.4,1.8731821024158832
Izzo,Izzo_LCZ696400,194,320,142,-21.8,22.6,1.8965498697505174
Huo,Huo_SV200,97,160,477,-20.48,13.3,0.608965166839188
Huo,Huo_SV400,194,320,469,-21.67,13.4,0.6187545093630776
Cheung,Cheung_SV200,97,160,188,-14.2,17.6,1.2836119251814722
Ruilope,Ruilope_SV100,49,80,156,-6.0,13.8,1.1048842612551013
Ruilope,Ruilope_SV200,97,160,169,-18.7,14.3,1.1
Ruilope,Ruilope_SV400,194,320,172,-20.2,14.3,1.0903647778781234
Ruilope,Ruilope_Vals80,0,80,163,-4.7,13.8,1.0808994209833813
Ruilope,Ruilope_Vals160,0,160,166,-13.4,14.3,1.109895251760056
Ruilope,Ruilope_Vals320,0,320,164,-14.2,14.3,1.1166423975035336
Rakugi,Rakugi_SV200,97,160,387,-18.2,12.5,0.6354107097191861
Rakugi,Rakugi_SV400,194,320,385,-20.2,13.5,0.6880237084407945
